plot,month,year,species,cover,height,phenology,remarks
F4P1,February,2019,Alyssum montanum subsp. gmelinii,r,1,v,remarks on last survey
F4P1,February,2019,Arenaria serpyllifolia,1,1,v,
F4P1,February,2019,Buglossoides incrassata,+,1,v,0
F4P1,February,2019,Echium vulgare,+,1,v,0
F4P1,February,2019,Erodium cicutarium,1,1,v,
F4P1,February,2019,Festuca valesiaca,+,3,v,
F4P1,February,2019,Gagea pusilla,r,1,v,
F4P1,February,2019,Koeleria macrantha,+,3,v,
F4P1,February,2019,Lamium amplexicaule,1,1,v,
F4P1,February,2019,Medicago minima,+,1,v,
F4P1,February,2019,Melica ciliata,+,1,v,
F4P1,February,2019,Potentilla incana,+,2,v,
F4P1,February,2019,Sedum album,1,2,v,
F4P1,February,2019,Seseli osseum,+,1,v,
F4P1,February,2019,Teucrium chamaedrys,1,5,v,
F4P1,February,2019,Verbascum lychnitis,r,1,v,small rosette sector 8 (verbascum)
F4P2,February,2019,Arabis auriculata,r,1,v,"qua 1/2, merged"
F4P2,February,2019,Arenaria serpyllifolia,+,1,v,
F4P2,February,2019,Buglossoides incrassata,1,2,v,0
F4P2,February,2019,Echium vulgare,+,1,v,0
F4P2,February,2019,Erodium cicutarium,3,2,v,
F4P2,February,2019,Gagea pusilla,r,2,v,
F4P2,February,2019,Lamium amplexicaule,+,1,v,
F4P2,February,2019,Lappula squarrosa,+,2,v,0
F4P2,February,2019,Medicago minima,+,1,v,
F4P2,February,2019,Melica ciliata,1,8,v,
F4P2,February,2019,Minuartia rubra,+,1,v,
F4P2,February,2019,Senecio vulgaris,+,1,v,
F4P2,February,2019,Teucrium chamaedrys,2a,6,v,
F4P2,February,2019,Veronica sublobata,2a,1,s,
F4P3,February,2019,Acinos arvensis,r,1,v,
F4P3,February,2019,Allium flavum,r,1,v,
F4P3,February,2019,Alyssum alyssoides,+,1,v,
F4P3,February,2019,Dianthus pontederae,1,3,v,
F4P3,February,2019,Echium vulgare,+,1,v,0
F4P3,February,2019,Erodium cicutarium,r,1,v,
F4P3,February,2019,Lamium amplexicaule,r,1,v,
F4P3,February,2019,Lappula squarrosa,+,1,v,0
F4P3,February,2019,Medicago minima,+,1,v,
F4P3,February,2019,Phleum phleoides,+,5,v,
F4P3,February,2019,Sedum album,1,1,v,
F4P3,February,2019,Seseli osseum,r,3,v,
F4P3,February,2019,Teucrium chamaedrys,1,7,v,
F4P3,February,2019,Veronica sublobata,+,1,s,
F4P4,February,2019,Alyssum alyssoides,+,1,v,
F4P4,February,2019,Arenaria serpyllifolia,1,2,v,
F4P4,February,2019,Bromus sp.,r,3,v,
F4P4,February,2019,Dianthus pontederae,r,1,v,
F4P4,February,2019,Echium vulgare,+,2,v,0
F4P4,February,2019,Erodium cicutarium,2a,2,v,
F4P4,February,2019,Festuca valesiaca,1,2,v,
F4P4,February,2019,Gagea pusilla,r,2,v,
F4P4,February,2019,Lamium amplexicaule,1,1,v,
F4P4,February,2019,Medicago minima,+,1,v,
F4P4,February,2019,Microthlaspi perfoliatum,+,1,v,
F4P4,February,2019,Teucrium chamaedrys,1,7,v,
F4P4,February,2019,Veronica sublobata,1,1,s,
F4P5,February,2019,Allium flavum,r,3,v,
F4P5,February,2019,Alyssum alyssoides,+,1,v,
F4P5,February,2019,Arenaria serpyllifolia,+,1,v,
F4P5,February,2019,Bromus japonicus,r,1,v,
F4P5,February,2019,Buglossoides incrassata,2a,1,v,0
F4P5,February,2019,Cerastium sp.,+,1,v,Cerastium semidecandrum
F4P5,February,2019,Echium vulgare,+,1,v,0
F4P5,February,2019,Erodium cicutarium,2a,1,v,
F4P5,February,2019,Lamium amplexicaule,+,1,v,
F4P5,February,2019,Lappula squarrosa,+,1,v,0
F4P5,February,2019,Medicago minima,+,1,v,
F4P5,February,2019,Microthlaspi perfoliatum,+,1,v,remarks on last survey
F4P5,February,2019,Potentilla incana,+,2,v,
F4P5,February,2019,Teucrium chamaedrys,2a,8,v,
F4P5,February,2019,Veronica praecox,+,1,s,
F4P5,February,2019,Veronica sublobata,+,1,s,
F4P6,February,2019,Acinos arvensis,+,1,v,
F4P6,February,2019,Allium flavum,+,1,v,
F4P6,February,2019,Alyssum alyssoides,+,1,v,
F4P6,February,2019,Arenaria serpyllifolia,+,1,v,
F4P6,February,2019,Echium vulgare,+,1,v,0
F4P6,February,2019,Erodium cicutarium,+,1,v,
F4P6,February,2019,Lamium amplexicaule,+,1,v,
F4P6,February,2019,Medicago minima,1,1,v,
F4P6,February,2019,Minuartia rubra,+,1,v,
F4P6,February,2019,Phleum phleoides,+,2,v,
F4P6,February,2019,Sedum album,+,1,v,
F4P6,February,2019,Teucrium chamaedrys,1,4,v,
F5P1,February,2019,Acinos arvensis,1,1,v,
F5P1,February,2019,Alyssum alyssoides,+,1,v,remarks on last survey
F5P1,February,2019,Cerastium sp.,r,1,s,
F5P1,February,2019,Dianthus pontederae,+,2,v,
F5P1,February,2019,Echium vulgare,+,1,v,0
F5P1,February,2019,Erodium cicutarium,+,1,v,
F5P1,February,2019,Lamium amplexicaule,+,1,v,
F5P1,February,2019,Medicago minima,2a,1,v,
F5P1,February,2019,Minuartia rubra,r,1,v,
F5P1,February,2019,Phleum phleoides,1,3,v,
F5P1,February,2019,Potentilla incana,+,2,v,
F5P1,February,2019,Sedum album,2a,2,v,
F5P1,February,2019,Seseli osseum,r,2,v,
F5P1,February,2019,Verbascum lychnitis,+,2,v,
F5P1,February,2019,Veronica praecox,r,1,s,
F5P1,February,2019,Veronica sublobata,r,1,s,
F5P2,February,2019,Buglossoides incrassata,2a,2,v,0
F5P2,February,2019,Echium vulgare,+,2,v,0
F5P2,February,2019,Hesperis tristis ,r,2,s,
F5P2,February,2019,Lamium amplexicaule,2a,2,v,
F5P2,February,2019,Lappula squarrosa,r,1,v,0
F5P2,February,2019,Medicago minima,1,1,v,
F5P2,February,2019,Melica ciliata,+,3,v,
F5P2,February,2019,Sedum album,r,1,v,
F5P2,February,2019,Teucrium chamaedrys,+,2,v,
F5P2,February,2019,Veronica praecox,r,1,s,
F5P3,February,2019,Acinos arvensis,+,3,v,
F5P3,February,2019,Arenaria serpyllifolia,+,1,v,
F5P3,February,2019,Dianthus pontederae,+,1,v,
F5P3,February,2019,Festuca csikhegyensis,r,3,v,
F5P3,February,2019,Holosteum umbellatum,+,1,s,
F5P3,February,2019,Koeleria macrantha,+,2,v,
F5P3,February,2019,Lamium amplexicaule,+,2,v,
F5P3,February,2019,Medicago minima,+,2,v,
F5P3,February,2019,Minuartia rubra,r,1,v,
F5P3,February,2019,Phleum phleoides,+,1,v,maybe includes also Melica
F5P3,February,2019,Potentilla incana,2a,4,v,
F5P3,February,2019,Sedum album,1,2,v,
F5P3,February,2019,Seseli osseum,r,1,v,
F5P3,February,2019,Teucrium chamaedrys,2a,4,v,
F5P4,February,2019,Allium flavum,r,1,v,
F5P4,February,2019,Alyssum alyssoides,r,1,v,
F5P4,February,2019,Arenaria serpyllifolia,+,2,v,
F5P4,February,2019,Camelina microcarpa,1,2,v,
F5P4,February,2019,Erodium cicutarium,+,1,v,
F5P4,February,2019,Festuca valesiaca,+,3,v,
F5P4,February,2019,Holosteum umbellatum,+,1,s,
F5P4,February,2019,Lamium amplexicaule,+,1,v,
F5P4,February,2019,Medicago minima,2a,2,v,
F5P4,February,2019,Potentilla incana,1,2,v,
F5P4,February,2019,Sedum album,1,2,v,
F5P4,February,2019,Seseli osseum,+,2,v,
F5P4,February,2019,Taraxacum sect. Erythrosperma,r,1,v,
F5P4,February,2019,Teucrium chamaedrys,r,3,v,
F5P4,February,2019,Verbascum lychnitis,r,1,v,
F5P4,February,2019,Veronica sublobata,+,1,s,
F5P5,February,2019,Alyssum alyssoides,r,1,v,
F5P5,February,2019,Arenaria serpyllifolia,r,1,v,
F5P5,February,2019,Camelina microcarpa,+,2,v,
F5P5,February,2019,Echium vulgare,1,3,v,0
F5P5,February,2019,Erysimum odoratum,+,2,v,
F5P5,February,2019,Lamium amplexicaule,+,1,v,
F5P5,February,2019,Medicago minima,1,1,v,
F5P5,February,2019,Microthlaspi perfoliatum,+,1,s,
F5P5,February,2019,Minuartia rubra,+,1,v,
F5P5,February,2019,Potentilla incana,+,1,v,
F5P5,February,2019,Sedum album,+,1,v,
F5P5,February,2019,Seseli osseum,+,1,v,
F5P5,February,2019,Verbascum lychnitis,1,3,v,
F5P6,February,2019,Acinos arvensis,1,1,v,
F5P6,February,2019,Allium flavum,+,5,v,
F5P6,February,2019,Alyssum alyssoides,+,1,v,
F5P6,February,2019,Arabis auriculata,+,1,v,cf
F5P6,February,2019,Arenaria serpyllifolia,1,1,v,
F5P6,February,2019,Camelina microcarpa,+,2,v,q5
F5P6,February,2019,Medicago minima,1,2,v,
F5P6,February,2019,Melica ciliata,+,4,v,
F5P6,February,2019,Minuartia rubra,+,1,v,
F5P6,February,2019,Potentilla incana,+,1,v,
F5P6,February,2019,Sedum album,1,2,v,
F5P6,February,2019,Tragopogon dubius,+,1,v,remarks on last survey
F5P6,February,2019,Verbascum lychnitis,1,2,v,
F6P1,February,2019,Acinos arvensis,+,1,v,
F6P1,February,2019,Allium flavum,+,2,v,
F6P1,February,2019,Arenaria serpyllifolia,+,1,v,
F6P1,February,2019,Buglossoides incrassata,1,1,v,
F6P1,February,2019,Erodium cicutarium,3,1,v,
F6P1,February,2019,Gagea pusilla,+,1,v,
F6P1,February,2019,Geranium pusillum,r,1,v,
F6P1,February,2019,Iris pumila,1,3,v,
F6P1,February,2019,Koeleria macrantha,r,2,v,
F6P1,February,2019,Lamium amplexicaule,+,1,v,
F6P1,February,2019,Lepidium campestre,2a,1,v,
F6P1,February,2019,Medicago minima,1,1,v,
F6P1,February,2019,Microthlaspi perfoliatum,+,1,s,
F6P1,February,2019,Ranunculus illyricus,r,1,v,
F6P1,February,2019,Sedum album,2a,2,v,
F6P1,February,2019,Teucrium chamaedrys,1,5,v,
F6P1,February,2019,Veronica sublobata,+,1,s,
F6P2,February,2019,Acinos arvensis,+,1,v,
F6P2,February,2019,Alyssum montanum subsp. gmelinii,r,1,v,montanum on last survey
F6P2,February,2019,Arenaria serpyllifolia,1,1,v,
F6P2,February,2019,Bromus japonicus,r,2,v,
F6P2,February,2019,Echium vulgare,+,1,v,0
F6P2,February,2019,Erodium cicutarium,2b,1,v,
F6P2,February,2019,Gagea pusilla,+,2,v,
F6P2,February,2019,Geranium pusillum,+,1,v,
F6P2,February,2019,Holosteum umbellatum,r,1,v,
F6P2,February,2019,Lamium amplexicaule,+,1,v,
F6P2,February,2019,Lappula squarrosa,+,1,v,0
F6P2,February,2019,Lepidium campestre,1,1,v,
F6P2,February,2019,Medicago minima,1,1,v,
F6P2,February,2019,Microthlaspi perfoliatum,+,1,v,
F6P2,February,2019,Myosotis arvensis,1,1,v,
F6P2,February,2019,Phleum phleoides,r,1,v,
F6P2,February,2019,Ranunculus illyricus,r,1,v,
F6P2,February,2019,Sedum album,+,2,v,
F6P2,February,2019,Veronica arvensis,+,1,s,
F6P2,February,2019,Veronica sublobata,+,1,s,
F6P3,February,2019,Arenaria serpyllifolia,2a,1,v,
F6P3,February,2019,Buglossoides incrassata,1,1,v,
F6P3,February,2019,Echium vulgare,1,2,v,0
F6P3,February,2019,Erodium cicutarium,2a,1,v,
F6P3,February,2019,Gagea pusilla,+,2,v,
F6P3,February,2019,Geranium pusillum,+,1,v,
F6P3,February,2019,Lamium amplexicaule,r,1,v,
F6P3,February,2019,Lepidium campestre,2a,1,v,
F6P3,February,2019,Medicago minima,+,1,v,
F6P3,February,2019,Microthlaspi perfoliatum,+,3,v,
F6P3,February,2019,Ranunculus illyricus,+,1,v,
F6P3,February,2019,Sedum album,1,3,v,
F6P3,February,2019,Teucrium chamaedrys,2a,5,v,
F6P3,February,2019,Veronica sublobata,+,1,s,
F6P4,February,2019,Alyssum montanum subsp. gmelinii,r,1,v,
F6P4,February,2019,Arenaria serpyllifolia,1,1,v,
F6P4,February,2019,Buglossoides incrassata,1,2,v,0
F6P4,February,2019,Echium vulgare,2a,2,v,0
F6P4,February,2019,Erodium cicutarium,2b,1,v,
F6P4,February,2019,Gagea pusilla,+,2,v,
F6P4,February,2019,Galium glaucum,+,3,v,
F6P4,February,2019,Geranium pusillum,+,1,v,
F6P4,February,2019,Holosteum umbellatum,r,1,s,
F6P4,February,2019,Lamium amplexicaule,+,1,v,
F6P4,February,2019,Lepidium campestre,2a,1,v,
F6P4,February,2019,Medicago minima,+,1,v,
F6P4,February,2019,Microthlaspi perfoliatum,r,5,v,
F6P4,February,2019,Ranunculus illyricus,+,1,v,
F6P4,February,2019,Sedum album,1,2,v,
F6P4,February,2019,Teucrium chamaedrys,2a,8,v,
F6P4,February,2019,Veronica sublobata,+,1,s,
F6P5,February,2019,Achillea collina,+,2,v,
F6P5,February,2019,Acinos arvensis,r,1,v,
F6P5,February,2019,Arabis auriculata,+,2,v,
F6P5,February,2019,Arenaria serpyllifolia,2a,1,v,
F6P5,February,2019,Echium vulgare,+,1,v,0
F6P5,February,2019,Erodium cicutarium,2a,1,v,
F6P5,February,2019,Festuca valesiaca,+,2,v,
F6P5,February,2019,Gagea pusilla,+,1,v,
F6P5,February,2019,Geranium pusillum,r,1,v,
F6P5,February,2019,Lamium amplexicaule,+,1,v,
F6P5,February,2019,Lepidium campestre,3,1,v,
F6P5,February,2019,Medicago minima,+,1,v,
F6P5,February,2019,Microthlaspi perfoliatum,+,1,s,
F6P5,February,2019,Ranunculus illyricus,+,1,v,
F6P5,February,2019,Sedum album,+,2,v,
F6P5,February,2019,Teucrium chamaedrys,+,2,v,
F6P5,February,2019,Veronica sublobata,+,1,v,
F6P6,February,2019,Acinos arvensis,+,1,v,
F6P6,February,2019,Cerastium sp.,r,1,v,
