plot,month,year,species,cover,height,phenology
F4P4,May,2019,Erodium cicutarium,2a,6,fr
F4P4,May,2019,Medicago minima,2a,10,fl
F4P4,May,2019,Sedum album,r,2,v
F4P4,May,2019,Teucrium chamaedrys,2a,8,v
F4P4,May,2019,Trifolium arvense,+,8,v
F4P4,May,2019,Verbascum lychnitis,r,1,v
F4P5,May,2019,Allium flavum,r,24,v
F4P5,May,2019,Alyssum alyssoides,1,9,fr
F4P5,May,2019,Arenaria serpyllifolia,2a,7,fr
F4P5,May,2019,Buglossoides incrassata,1,21,fr
F4P5,May,2019,Centaurea stoebe,r,8,v
F4P5,May,2019,Echium vulgare,2b,13,v
F4P5,May,2019,Erodium cicutarium,1,9,fl
F4P5,May,2019,Fragaria viridis,r,4,v
F4P5,May,2019,Lappula squarrosa,1,18,v
F4P5,May,2019,Medicago minima,2b,10,fr
F4P5,May,2019,Minuartia rubra,r,12,v
F4P5,May,2019,Potentilla incana,+,9,v
F4P5,May,2019,Teucrium chamaedrys,2b,10,v
F4P5,May,2019,Verbascum lychnitis,1,2,v
F4P5,May,2019,Veronica praecox,+,4,fr
F4P6,May,2019,Acinos arvensis,1,8,v
F4P6,May,2019,Allium flavum,r,17,v
F4P6,May,2019,Alyssum alyssoides,2a,12,fr
F4P6,May,2019,Arenaria serpyllifolia,1,8,fr
F4P6,May,2019,Echium vulgare,1,8,v
F4P6,May,2019,Erodium cicutarium,+,1,s
F4P6,May,2019,Medicago minima,2a,10,fr
F4P6,May,2019,Minuartia rubra,1,10,v
F4P6,May,2019,Phleum phleoides,1,23,fl
F4P6,May,2019,Sedum album,1,6,v
F4P6,May,2019,Teucrium chamaedrys,1,8,v
F4P6,May,2019,Verbascum lychnitis,r,1,v
F5P1,May,2019,Acinos arvensis,2a,9,v
F5P1,May,2019,Alyssum alyssoides,+,8,fr
F5P1,May,2019,Arabis auriculata,r,10,fr
F5P1,May,2019,Arenaria serpyllifolia,+,6,fr
F5P1,May,2019,Dianthus pontederae,+,4,v
F5P1,May,2019,Echium vulgare,1,7,v
F5P1,May,2019,Erodium cicutarium,+,7,fl
F5P1,May,2019,Medicago minima,2a,7,fl
F5P1,May,2019,Minuartia rubra,+,6,v
F5P1,May,2019,Phleum phleoides,1,70,v
F5P1,May,2019,Potentilla incana,+,3,v
F5P1,May,2019,Sedum album,2a,8,v
F5P1,May,2019,Seseli osseum,1,9,v
F5P1,May,2019,Verbascum lychnitis,2a,7,v
F5P1,May,2019,Veronica praecox,r,2,fr
F5P2,May,2019,Acinos arvensis,+,8,v
F5P2,May,2019,Arabis auriculata,+,5,fr
F5P2,May,2019,Camelina microcarpa,1,30,fl
F5P2,May,2019,Echium vulgare,2b,10,v
F5P2,May,2019,Lappula squarrosa,+,35,fl
F5P2,May,2019,Medicago minima,2b,8,fl
F5P2,May,2019,Melica ciliata,1,20,v
F5P2,May,2019,Sedum album,+,3,v
F5P2,May,2019,Teucrium chamaedrys,2a,10,v
F5P3,May,2019,Acinos arvensis,+,8,v
F5P3,May,2019,Alyssum alyssoides,+,10,fr
F5P3,May,2019,Arenaria serpyllifolia,+,5,fr
F5P3,May,2019,Dianthus pontederae,+,10,fl
F5P3,May,2019,Festuca csikhegyensis,+,5,v
F5P3,May,2019,Koeleria macrantha,+,15,fl
F5P3,May,2019,Medicago minima,1,8,fl
F5P3,May,2019,Minuartia rubra,+,15,v
F5P3,May,2019,Phleum phleoides,+,5,v
F5P3,May,2019,Potentilla incana,2b,4,fr
F5P3,May,2019,Sedum album,1,5,v
F5P3,May,2019,Seseli osseum,1,7,v
F5P3,May,2019,Teucrium chamaedrys,2b,10,v
F5P3,May,2019,Verbascum lychnitis,+,1,v
F5P4,May,2019,Acinos arvensis,+,7,v
F5P4,May,2019,Alyssum alyssoides,2a,7,fl
F5P4,May,2019,Arenaria serpyllifolia,1,7,fr
F5P4,May,2019,Camelina microcarpa,1,60,fl
F5P4,May,2019,Erodium cicutarium,1,10,fr
F5P4,May,2019,Festuca valesiaca,+,10,v
F5P4,May,2019,Medicago minima,2a,7,fl
F5P4,May,2019,Potentilla incana,2a,4,fr
F5P4,May,2019,Sedum album,2a,5,v
F5P4,May,2019,Seseli osseum,1,12,v
F5P4,May,2019,Taraxacum sect. Erythrosperma,r,1,v
F5P4,May,2019,Teucrium chamaedrys,r,5,v
F5P4,May,2019,Verbascum lychnitis,+,1,v
F5P4,May,2019,Veronica praecox,r,5,fl
F5P5,May,2019,Acinos arvensis,r,3,v
F5P5,May,2019,Alyssum alyssoides,+,10,fr
F5P5,May,2019,Camelina microcarpa,+,44,fr
F5P5,May,2019,Echium vulgare,3,44,v
F5P5,May,2019,Erysimum odoratum,1,40,fl
F5P5,May,2019,Medicago minima,2a,12,fr
F5P5,May,2019,Minuartia rubra,+,7,v
F5P5,May,2019,Potentilla incana,1,3,v
F5P5,May,2019,Sedum album,r,2,v
F5P5,May,2019,Seseli osseum,1,25,v
F5P5,May,2019,Verbascum lychnitis,2b,7,v
F5P5,May,2019,Veronica praecox,+,8,fr
F5P6,May,2019,Acinos arvensis,2a,13,v
F5P6,May,2019,Alyssum alyssoides,2a,10,fr
F5P6,May,2019,Arenaria serpyllifolia,1,7,fr
F5P6,May,2019,Camelina microcarpa,1,50,fr
F5P6,May,2019,Medicago minima,2a,9,fr
F5P6,May,2019,Melica ciliata,1,15,v
F5P6,May,2019,Minuartia rubra,1,9,v
F5P6,May,2019,Potentilla incana,1,4,v
F5P6,May,2019,Sedum album,+,2,v
F5P6,May,2019,Tragopogon dubius,1,15,v
F5P6,May,2019,Verbascum lychnitis,2b,9,v
F5P6,May,2019,Veronica praecox,+,2,fr
F6P1,May,2019,Acinos arvensis,+,4,v
F6P1,May,2019,Allium flavum,+,6,v
F6P1,May,2019,Arenaria serpyllifolia,+,6,fr
F6P1,May,2019,Bromus japonicus,r,12,fr
F6P1,May,2019,Buglossoides incrassata,+,10,fr
F6P1,May,2019,Echium vulgare,1,6,v
F6P1,May,2019,Erodium cicutarium,2a,7,fr
F6P1,May,2019,Iris pumila,2a,10,v
F6P1,May,2019,Lepidium campestre,2a,6,fr
F6P1,May,2019,Medicago minima,1,6,fl
F6P1,May,2019,Sedum album,3,4,v
F6P1,May,2019,Teucrium chamaedrys,1,5,v
F6P1,May,2019,Trifolium arvense,1,5,v
F6P1,May,2019,Verbascum lychnitis,r,1,s
F6P2,May,2019,Acinos arvensis,r,4,v
F6P2,May,2019,Arenaria serpyllifolia,2b,1,fr
F6P2,May,2019,Centaurea stoebe,r,4,v
F6P2,May,2019,Echium vulgare,1,5,v
F6P2,May,2019,Erodium cicutarium,1,5,fl
F6P2,May,2019,Geranium pusillum,+,4,fr
F6P2,May,2019,Lappula squarrosa,+,7,v
F6P2,May,2019,Lepidium campestre,1,8,fl
F6P2,May,2019,Medicago minima,3,8,fl
F6P2,May,2019,Myosotis arvensis,r,8,fr
F6P2,May,2019,Sedum album,+,5,v
F6P2,May,2019,Trifolium arvense,+,7,v
F6P3,May,2019,Acinos arvensis,+,4,v
F6P3,May,2019,Alyssum alyssoides,+,5,fl
F6P3,May,2019,Arenaria serpyllifolia,2a,5,fr
F6P3,May,2019,Buglossoides incrassata,+,10,fr
F6P3,May,2019,Echium vulgare,2b,10,v
F6P3,May,2019,Erodium cicutarium,+,7,fl
F6P3,May,2019,Festuca valesiaca,+,5,v
F6P3,May,2019,Geranium pusillum,r,5,fl
F6P3,May,2019,Lepidium campestre,2a,12,fl
F6P3,May,2019,Medicago lupulina,r,4,fl
F6P3,May,2019,Medicago minima,2b,7,fl
F6P3,May,2019,Sedum album,2a,8,v
F6P3,May,2019,Teucrium chamaedrys,1,7,v
F6P3,May,2019,Trifolium arvense,+,7,v
F6P4,May,2019,Achillea collina,r,6,v
F6P4,May,2019,Acinos arvensis,r,3,v
F6P4,May,2019,Alyssum montanum subsp. gmelinii,+,8,fr
F6P4,May,2019,Arenaria serpyllifolia,+,6,fr
F6P4,May,2019,Buglossoides incrassata,+,8,fr
F6P4,May,2019,Convolvulus arvensis,1,5,v
F6P4,May,2019,Echium vulgare,3,15,v
F6P4,May,2019,Erodium cicutarium,1,5,fr
F6P4,May,2019,Euphorbia cyparissias,+,3,v
F6P4,May,2019,Galium glaucum,+,8,fl
F6P4,May,2019,Geranium pusillum,+,6,fr
F6P4,May,2019,Lepidium campestre,2a,10,fr
F6P4,May,2019,Medicago minima,1,12,fr
F6P4,May,2019,Sedum album,1,5,v
F6P4,May,2019,Teucrium chamaedrys,2a,5,v
F6P4,May,2019,Trifolium arvense,+,7,v
F6P5,May,2019,Achillea collina,1,12,v
F6P5,May,2019,Alyssum alyssoides,r,5,fl
F6P5,May,2019,Arenaria serpyllifolia,2a,5,fr
F6P5,May,2019,Centaurea stoebe,r,4,v
F6P5,May,2019,Convolvulus arvensis,r,6,v
F6P5,May,2019,Echium vulgare,1,5,v
F6P5,May,2019,Erodium cicutarium,+,5,fr
F6P5,May,2019,Festuca valesiaca,+,8,v
F6P5,May,2019,Geranium pusillum,r,4,fr
F6P5,May,2019,Hesperis tristis ,1,5,v
F6P5,May,2019,Inula oculus-christi,1,6,v
F6P5,May,2019,Lepidium campestre,2a,8,fr
F6P5,May,2019,Medicago minima,2a,7,fr
F6P5,May,2019,Sedum album,1,6,v
F6P5,May,2019,Teucrium chamaedrys,1,5,v
F6P5,May,2019,Trifolium arvense,+,8,v
F6P6,May,2019,Acinos arvensis,+,3,v
F6P6,May,2019,Alyssum alyssoides,r,5,fl
F6P6,May,2019,Arenaria serpyllifolia,1,4,fr
F6P6,May,2019,Arrhenatherum elatius,+,6,v
F6P6,May,2019,Buglossoides incrassata,+,7,fl
F6P6,May,2019,Echium vulgare,1,4,v
F6P6,May,2019,Erodium cicutarium,1,5,fr
F6P6,May,2019,Geranium pusillum,+,4,v
F6P6,May,2019,Inula oculus-christi,3,7,v
F6P6,May,2019,Lepidium campestre,2a,9,fr
F6P6,May,2019,Medicago minima,2a,9,fr
F6P6,May,2019,Sedum album,1,4,v
F6P6,May,2019,Taraxacum sect. Erythrosperma,r,2,v
F6P6,May,2019,Teucrium chamaedrys,2a,5,v
F6P6,May,2019,Trifolium arvense,1,9,v
F6P6,May,2019,Veronica arvensis,+,5,fr
F7P1,May,2019,Acinos arvensis,+,3,v
F7P1,May,2019,Arenaria serpyllifolia,+,5,fl
F7P1,May,2019,Arrhenatherum elatius,r,12,v
F7P1,May,2019,Buglossoides incrassata,r,9,fr
F7P1,May,2019,Echium vulgare,2b,11,v
F7P1,May,2019,Erodium cicutarium,r,5,fr
F7P1,May,2019,Geranium pusillum,+,2,v
F7P1,May,2019,Lepidium campestre,2a,11,fr
F7P1,May,2019,Medicago minima,2a,10,fr
F7P1,May,2019,Melica ciliata,+,10,v
F7P1,May,2019,Teucrium chamaedrys,2b,8,v
F7P2,May,2019,Acinos arvensis,+,5,v
F7P2,May,2019,Arenaria serpyllifolia,+,5,fr
F7P2,May,2019,Arrhenatherum elatius,r,10,v
F7P2,May,2019,Dianthus pontederae,+,5,v
F7P2,May,2019,Echium vulgare,1,7,v
F7P2,May,2019,Erodium cicutarium,1,8,fl
F7P2,May,2019,Lepidium campestre,2b,5,fl
F7P2,May,2019,Medicago minima,1,5,fl
F7P2,May,2019,Melica ciliata,+,5,v
F7P2,May,2019,Sedum album,+,6,v
F7P2,May,2019,Teucrium chamaedrys,2b,10,v
F7P3,May,2019,Allium flavum,r,5,v
F7P3,May,2019,Alyssum alyssoides,r,8,fr
F7P3,May,2019,Arenaria serpyllifolia,2a,5,fl
F7P3,May,2019,Arrhenatherum elatius,+,12,v
F7P3,May,2019,Buglossoides incrassata,r,8,fr
F7P3,May,2019,Echium vulgare,2b,10,v
F7P3,May,2019,Erodium cicutarium,+,5,fl
F7P3,May,2019,Festuca valesiaca,+,15,fl
F7P3,May,2019,Galium glaucum,r,3,v
F7P3,May,2019,Geranium pusillum,+,7,fr
F7P3,May,2019,Hesperis tristis ,1,15,v
F7P3,May,2019,Lepidium campestre,1,5,fl
F7P3,May,2019,Medicago minima,3,7,fr
F7P3,May,2019,Melica ciliata,1,13,v
F7P3,May,2019,Phleum phleoides,r,3,v
F7P3,May,2019,Potentilla incana,2b,5,fr
F7P3,May,2019,Teucrium chamaedrys,1,5,v
F7P3,May,2019,Verbascum lychnitis,1,10,v
F7P4,May,2019,Arenaria serpyllifolia,+,5,v
F7P4,May,2019,Arrhenatherum elatius,+,12,v
F7P4,May,2019,Bromus japonicus,+,15,fl
F7P4,May,2019,Buglossoides incrassata,+,15,fr
F7P4,May,2019,Echium vulgare,2a,15,v
F7P4,May,2019,Erodium cicutarium,1,10,fl
F7P4,May,2019,Geranium pusillum,r,5,fr
F7P4,May,2019,Lepidium campestre,2b,15,fl
F7P4,May,2019,Medicago minima,3,8,fr
F7P4,May,2019,Sedum album,r,1,v
F7P4,May,2019,Teucrium chamaedrys,2b,7,v
F7P4,May,2019,Trifolium arvense,+,10,v
F7P5,May,2019,Acinos arvensis,+,6,v
F7P5,May,2019,Alyssum montanum subsp. gmelinii,r,6,fl
F7P5,May,2019,Bromus sp.,+,12,fl
F7P5,May,2019,Dianthus pontederae,+,5,v
F7P5,May,2019,Echium vulgare,2a,10,v
F7P5,May,2019,Erodium cicutarium,+,2,fr
F7P5,May,2019,Galium glaucum,+,5,v
F7P5,May,2019,Lepidium campestre,1,10,fr
F7P5,May,2019,Medicago minima,2a,5,fr
F7P5,May,2019,Melica ciliata,r,7,v
F7P5,May,2019,Potentilla incana,2a,5,v
F7P5,May,2019,Sedum album,+,4,v
F7P5,May,2019,Teucrium chamaedrys,1,5,v
